Name	HDI	GDP	Population	ChristianPercent	MuslimPercent	AtheistPercent	HinduPercent	BuddhistPercent	FolkReligionPercent	OtherPercent	JewishPercent
Trinidad & Tobago	0.77	20.989 	1364962	65.90	5.90	1.90	22.70	0.30	0.00	1.90	1.40
Dominican Republic	0.72	71.584 	10648791	88.00	0.00	10.90	0.00	0.00	0.00	0.90	0.10
Ethiopia	0.44	72.374 	102403196	62.80	34.60	0.06	0.00	0.00	0.00	2.60	0.00
Kenya	0.55	70.529 	48461567	84.80	9.70	2.50	0.10	0.00	0.00	1.70	1.20
Egypt	0.69	336.297 	95688681	11.20	88.90	0.00	0.00	0.00	0.00	0.00	0.00
South Africa	0.67	294.841 	55908865	81.20	1.70	14.90	1.10	0.20	0.10	0.40	0.30
Ghana	0.58	42.690 	28206728	74.90	15.80	4.20	0.00	0.00	0.00	4.90	0.20
Nigeria	0.51	405.083 	185989640	49.30	48.80	0.40	0.00	0.01	0.00	1.40	0.06
Costa Rica	0.77	57.436 	4857274	90.90	0.00	7.90	0.00	0.00	0.00	0.80	0.30
Honduras	0.61	21.517 	9112867	87.60	0.10	10.50	0.00	0.10	0.00	1.10	0.60
Mexico	0.76	1.045.998 	127540423	95.10	0.01	4.70	0.00	0.07	0.06	0.06	0.02
Panama	0.78	55.188 	4034119	93.00	0.70	4.80	0.00	0.20	0.40	0.40	0.40
USA	0.92	18.569.100	323127513	78.30	0.90	16.40	0.60	1.20	1.80	0.20	0.60
Argentina	0.84	545.866	43847430	85.20	1.00	12.20	0.00	0.05	0.50	0.80	0.30
Bolivia	0.66	33.806 	10887882	93.90	0.00	4.10	0.00	0.00	0.00	0.90	1.00
Brazil	0.76	1.796.187 	207652865	95.90	0.02	7.90	0.00	0.10	0.06	2.80	0.20
Chile	0.83	247.028 	17909754	89.40	0.00	8.60	0.00	0.06	0.10	1.50	0.20
Colombia	0.72	282.463 	48653419	92.50	0.02	6.60	0.00	0.00	0.00	0.80	0.09
Ecuador	0.73	97.802 	16385068	94.10	0.00	5.50	0.00	0.00	0.00	0.30	0.00
Paraguay	0.68	27.441 	6725308	96.90	0.00	1.10	0.00	0.00	0.00	1.70	0.20
Peru	0.73	192.094 	31773839	93.00	0.00	6.50	0.00	0.20	0.00	1.00	0.30
Uruguay	0.79	52.420 	3444006	57.90	0.00	40.70	0.00	0.00	0.30	0.80	0.30
Venezuela	0.76	404.100	31568179	89.30	0.30	10.00	0.00	0.00	0.00	0.20	0.07
China	0.73	11.199.145 	1378665000	10.70	1.80	52.20	0.00	18.20	0.00	21.90	0.70
Hong Kong	0.891	320.912 	7346700	14.30	1.80	56.10	0.40	13.20	0.00	12.80	1.50
Japan	0.89	4.939.384 	126994511	1.60	0.20	57.00	0.02	36.20	0.00	0.40	4.70
South Korea	0.90	1.411.246 	51245707	38.40	0.20	46.40	0.00	22.90	0.00	0.80	0.20
Taiwan	0.88	518.820 	23550000	7.50	0.04	12.70	0.00	21.30	0.00	44.20	16.20
Bahrain	0.82	31.859 	1425171	14.5	70.30	1.90	9.80	2.50	0.60	0.00	0.20
Israel	0.89	318.744 	8547100	2.00	18.60	3.10	0.00	0.30	75.60	0.20	0.10
Jordan	0.75	38.655 	9455802	2.20	97.20	0.00	0.10	0.40	0.00	0.00	0.00
Lebanon	0.77	47.537 	6006668	41.30	58.30	0.30	0.00	0.20	0.00	0.00	0.00
Oman	0.79	66.293 	4424762	6.50	85.90	0.20	5.50	0.80	0.00	0.00	1.00
Qatar	0.85	152.469 	2569804	13.80	67.70	0.90	13.80	3.10	0.00	0.00	0.70
United Arab Emirates	0.84	348.743 	9269612	12.60	76.90	1.10	6.60	2.00	0.00	0.00	0.80
Cambodia	0.56	20.017 	15762370	0.40	2.00	0.20	0.00	96.90	0.00	0.60	0.00
Indonesia	0.68	932.259 	261115456	9.90	87.20	0.10	1.70	0.70	0.00	0.30	0.10
Malaysia	0.78	296.359	31187265	9.40	63.70	0.70	6.00	17.70	0.00	2.30	0.20
Philippines	0.67	304.905 	103320222	85.00	11.00[2]	7.00	0.00	1.50	0.03	1.50[3]	0.10
Singapore	0.91	296.966 	5607283	18.20	14.30	16.40	5.20	33.90	0.00	2.30	9.70
Thailand	0.73	406.840 	68863514	0.90	5.50	0.30	0.10	93.20	0.00	0.09	0.00
Vietnam	0.67	202.616 	92701100	8.20	0.20	29.60	0.0016	16.40	0.00	45.30	0.40
India	0.61	2.263.523 	1324171354	2.50	14.40	0.07	79.50	0.80	0.00	0.50	2.30
Pakistan	0.54	283.660 	193203476	1.60	96.40	0.01	1.90	0.01	0.00	0.02	0.01
Cyprus	0.85	19.802 	1170125	73.20	25.30	1.20	0.00	0.20	0.00	0.00	0.00
Turkey	0.76	857.749 	79512426	0.40	98.00	1.20	0.00	0.05		0.03	0.20
Austria	0.89	386.428 	8747358	80.40	5.40	13.50	0.00	0.20	0.20	0.00	0.10
Croatia	0.82	50.425 	4170600	93.40	1.40	5.10	0.00	0.00	0.00	0.00	0.00
Czech Republic	0.87	192.925 	10561633	41.30	0.30	76.40	0.00	0.00	0.00	0.00	0.00
Germany	0.92	3.466.757 	82667685	68.70	5.80	24.70	0.10	0.30	0.30	0.05	0.10
Hungary	0.83	124.343 	9817958	81.00	0.75	18.60	0.00	0.00	0.10	0.00	0.00
Poland	0.84	469.509 	37948016	94.30	0.10	5.60	0.00	0.00	0.03	0.00	0.00
Slovakia	0.84	89.552 	5428704	85.30	0.20	14.30	0.00	0.00	0.00	0.00	0.00
Slovenia	0.88	43.991 	2064845	78.40	3.60	18.00	0.00	0.00	0.00	0.00	0.00
Switzerland	0.93	659.827 	8372098	81.30	5.50	11.90	0.40	0.40	0.30	0.00	0.10
Russia	0.80	1.283.162 	144342396	73.30	12.50	16.20	0.02	0.10	0.20	0.20	0.00
Ukraine	0.75	93.270 	45004645	83.80	1.20	14.70	0.02	0.04	0.10	0.00	0.00
Denmark	0.92	306.143 	5731118	83.50	4.10	11.80	0.40	0.20	0.00	0.00	0.00
Estonia	0.86	23.137 	1316481	39.90	0.20	59.60	0.00	0.00	0.10	0.00	0.00
Finland	0.88	236.785 	5495096	81.60	0.80	17.60	0.00	0.00	0.00	0.00	0.00
Iceland	0.90	20.047 	334252	95.00	0.20	3.50	0.30	0.40	0.00	0.50	0.20
Latvia	0.82	27.677 	1960424	55.80	0.10	43.80	0.00	0.00	0.00	0.00	0.20
Lithuania	0.84	42.739 	2872298	89.80	0.10	10.00	0.00	0.00	0.00	0.00	0.00
Norway	0.94	370.557 	5232929	84.70	3.70	10.10	0.50	0.60	0.00	0.00	0.20
Sweden	0.91	511.000 	9903122	76.20	4.60	27.00	0.20	0.40	0.10	0.20	0.20
Bulgaria	0.78	52.395 	7127822	82.10	13.70	4.20	0.00	0.00	0.00	0.00	0.00
Greece	0.87	194.559 	10746740	88.10	5.30	6.10	0.10	0.00	0.00	0.10	0.00
Romania	0.79	186.691 	19705301	99.50	0.30	0.10	0.00	0.00	0.00	0.00	0.00
Serbia & Montenegro	0.77	41.918	7680193	92.50	4.20	3.30	0.00	0.00	0.00	0.00	0.00
Italy	0.87	1.849.970 	60600590	83.30	3.70	12.40	0.10	0.20	0.08	0.10	0.10
Portugal	0.83	204.565 	10324611	93.80	0.60	4.40	0.10	0.60	0.00	0.50	0.00
Spain	0.88	1.232.088 	46443959	78.60	2.10	19.00	0.04	0.00	0.10	0.04	0.02
Belgium	0.89	466.366 	11348159	74.20	5.90	29.00	0.00	0.20	0.30	0.20	0.09
France	0.89	2.465.454 	66896109	73.00	7.50	28.00	0.05	0.50	0.50	0.30	0.20
Netherlands	0.92	770.845 	17018408	70.60	6.00	42.10	0.50	0.20	0.20	0.20	0.20
United Kingdom	0.91	2.618.886 	65637239	71.10	4.40	21.30	1.30	0.40	0.50	0.30	0.80
Australia	0.94	1.204.616 	24127159	67.3	2.4	24.2	1.4	2.7	0.5	0.7	0.8
New Zealand	0.91	185.017 	4692700	57.00	1.20	36.60	2.10	1.60	0.20	0.50	0.70